Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,67.695999,70.606003,56.722000,57.363998,32.305164,73835500
2010-02-01,57.618000,60.338001,53.150002,60.338001,33.979996,95722000
2010-03-01,60.403999,65.000000,59.500000,63.222000,35.604156,73085500
2010-04-01,63.695999,69.500000,61.546001,65.853996,37.786980,74703500
2010-05-01,66.124001,67.033997,60.012001,63.330002,36.338722,81449500
2010-06-01,63.094002,65.040001,56.155998,56.310001,32.310646,78877500
2010-07-01,56.259998,57.944000,52.903999,55.759998,32.621208,71909500
2010-08-01,56.394001,57.405998,46.900002,49.632000,29.036158,78811000
2010-09-01,50.528000,54.995998,50.034000,52.090000,30.474154,56521500
2010-10-01,52.200001,58.431999,51.124001,57.930000,34.661907,70552000
2010-11-01,58.181999,59.897999,55.953999,57.612000,34.471642,48439500
2010-12-01,58.582001,65.599998,58.442001,64.349998,38.503281,51756500
2011-01-01,64.599998,64.685997,60.243999,61.712002,37.613678,47761500
2011-02-01,61.950001,63.473999,58.099998,62.256001,37.945240,80453500
2011-03-01,62.292000,62.417999,55.916000,60.310001,36.759148,63632500
2011-04-01,60.688000,62.599998,58.981998,59.153999,36.904709,36485000
2011-05-01,59.580002,60.222000,56.560001,57.152000,35.655708,50333500
2011-06-01,56.868000,58.625999,52.220001,58.318001,36.383144,50261000
2011-07-01,58.009998,60.000000,55.352001,57.838001,37.039875,37911500
2011-08-01,58.883999,58.911999,47.299999,53.424000,34.213112,79481500
2011-09-01,53.512001,54.702000,49.254002,49.279999,31.559269,57243000
2011-10-01,48.874001,56.152000,47.658001,55.112000,36.291168,71367000
2011-11-01,52.056000,55.984001,47.046001,49.855999,32.830101,92663000
2011-12-01,49.456001,51.950001,47.419998,48.734001,32.091274,50241000
2012-01-01,49.484001,49.903999,44.938000,47.902000,32.495586,69682500
2012-02-01,48.377998,59.397999,48.160000,57.897999,39.276634,102685000
2012-03-01,57.414001,60.922001,53.495998,57.866001,39.254936,78562000
2012-04-01,57.863998,58.875999,52.980000,53.164001,37.589687,46804500
2012-05-01,53.161999,54.119999,49.799999,51.514000,36.423038,58953000
2012-06-01,50.605999,56.886002,50.495998,53.622002,37.913517,47729500
2012-07-01,53.798000,54.644001,50.169998,52.110001,38.442707,46383500
2012-08-01,52.279999,54.959999,49.540001,54.900002,40.500954,43055500
2012-09-01,54.900002,60.000000,54.099998,57.290001,42.264107,49205600
2012-10-01,57.880001,58.000000,54.160000,55.930000,41.599251,34331600
2012-11-01,56.180000,57.480000,53.430000,55.270000,41.108364,27748400
2012-12-01,55.560001,55.820000,49.790001,50.669998,37.687008,51885300
2013-01-01,51.299999,58.340000,51.000000,57.840000,44.471527,40884900
2013-02-01,58.160000,60.099998,56.389999,59.669998,45.878551,43459200
2013-03-01,59.820000,63.630001,59.110001,61.410000,47.216393,38592300
2013-04-01,61.990002,61.990002,58.360001,60.860001,47.137695,30668300
2013-05-01,60.840000,70.400002,58.619999,67.930000,52.613609,41967800
2013-06-01,67.970001,79.449997,66.580002,75.949997,58.825314,58477300
2013-07-01,76.010002,78.120003,73.070000,74.059998,57.736523,42003100
2013-08-01,74.839996,75.370003,70.309998,71.110001,55.436737,39407100
2013-09-01,71.940002,75.500000,70.279999,73.879997,57.596199,37901600
2013-10-01,73.800003,78.019997,71.580002,74.209999,58.210480,31145300
2013-11-01,74.199997,84.349998,72.169998,81.949997,64.281746,31527600
2013-12-01,82.019997,84.709999,77.589996,78.459999,61.544201,42086300
2014-01-01,77.959999,79.970001,72.110001,74.760002,60.881786,50138800
2014-02-01,74.480003,78.000000,70.519997,73.820000,60.116280,33483800
2014-03-01,73.180000,77.750000,72.769997,74.019997,60.279140,37553900
2014-04-01,74.419998,75.000000,66.440002,70.389999,57.677738,44145400
2014-05-01,70.809998,72.480003,67.540001,72.000000,58.996994,29519900
2014-06-01,72.059998,72.489998,69.160004,70.949997,58.136612,29454300
2014-07-01,70.980003,76.220001,69.739998,73.940002,60.999100,30970100
2014-08-01,73.709999,77.419998,72.250000,76.550003,63.152275,28218500
2014-09-01,76.580002,83.660004,75.300003,79.959999,65.965439,34046100
2014-10-01,79.959999,83.879997,75.940002,83.809998,69.569328,41854800
2014-11-01,84.110001,86.400002,82.510002,84.639999,70.258293,24498400
2014-12-01,84.589996,93.910004,84.010002,88.650002,73.586937,34081700
2015-01-01,89.220001,89.970001,83.430000,85.300003,72.752457,31138000
2015-02-01,85.839996,97.120003,84.769997,95.930000,81.818802,27755000
2015-03-01,95.730003,100.610001,93.680000,94.709999,80.778259,41139600
2015-04-01,94.480003,94.980003,88.220001,90.910004,77.939713,34832700
2015-05-01,91.639999,96.489998,89.760002,94.199997,80.760330,25645500
2015-06-01,94.480003,99.220001,92.309998,93.059998,79.782982,33895900
2015-07-01,93.830002,100.870003,93.110001,96.040001,82.769157,29545500
2015-08-01,96.370003,98.660004,84.330002,94.440002,81.390244,34753000
2015-09-01,92.349998,96.230003,89.300003,92.739998,79.925148,37090900
2015-10-01,92.830002,97.820000,86.980003,94.470001,81.858910,31141200
2015-11-01,94.959999,98.870003,94.059998,97.650002,84.614388,22714500
2015-12-01,98.190002,100.080002,90.160004,90.599998,78.505524,34942700
2016-01-01,88.800003,89.940002,81.870003,89.849998,80.720856,41284200
2016-02-01,89.779999,94.449997,85.470001,91.440002,82.149330,38810900
2016-03-01,91.790001,97.739998,89.870003,96.050003,86.290924,36483800
2016-04-01,95.820000,97.519997,89.000000,91.910004,83.104408,47775500
2016-05-01,92.599998,99.000000,92.000000,97.889999,88.511475,28119000
2016-06-01,97.790001,98.230003,92.290001,97.400002,88.068405,35680900
2016-07-01,97.010002,103.339996,95.599998,102.239998,93.025879,24915200
2016-08-01,102.580002,109.620003,102.300003,108.349998,98.585228,25488800
2016-09-01,108.529999,110.349998,104.199997,104.519997,95.100418,32520900
2016-10-01,104.089996,105.650002,99.180000,100.099998,91.588982,24133600
2016-11-01,100.529999,117.800003,98.949997,112.910004,103.309822,46587800
2016-12-01,113.589996,124.010002,113.000000,115.349998,105.542343,34486700
2017-01-01,116.160004,121.690002,113.269997,121.080002,114.427452,28773100
2017-02-01,121.500000,123.550003,115.599998,121.459999,114.786575,31014300
2017-03-01,123.010002,127.599998,117.099998,118.800003,112.272720,37027300
2017-04-01,118.820000,120.790001,114.820000,116.190002,110.395813,28137700
2017-05-01,116.550003,119.180000,114.879997,117.290001,111.440964,30369300
2017-06-01,117.529999,127.959999,116.620003,125.239998,118.994507,29851400
2017-07-01,125.330002,127.360001,119.300003,122.620003,117.164848,27270900
2017-08-01,123.650002,127.769997,120.320000,125.800003,120.203377,25575400
2017-09-01,125.629997,136.259995,124.510002,135.679993,129.643814,23876300
2017-10-01,135.729996,138.490005,132.330002,137.169998,131.744644,27299200
2017-11-01,137.990005,151.850006,135.610001,140.089996,134.549149,34540400
2017-12-01,151.460007,155.289993,144.839996,146.050003,140.273407,31452700
2018-01-01,146.119995,156.490005,143.679993,153.479996,151.612000,26638000
2018-02-01,155.399994,169.520004,149.380005,166.160004,164.137695,38728800
2018-03-01,166.369995,171.710007,156.429993,161.740005,159.771484,44678000
2018-04-01,161.619995,166.649994,155.399994,157.679993,156.410370,32834000
2018-05-01,157.559998,166.139999,153.899994,162.899994,161.588348,34011500
2018-06-01,164.410004,174.360001,162.389999,163.919998,162.600128,34787800
2018-07-01,163.479996,171.990005,158.350006,159.119995,158.478012,26967600
2018-08-01,159.860001,175.000000,158.860001,174.729996,174.025040,27889800
2018-09-01,174.729996,177.360001,170.039993,170.210007,169.523285,25134400
2018-10-01,171.350006,185.110001,170.490005,183.240005,183.240005,42523600
