Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,22.719999,23.080000,21.610001,21.719999,17.701223,9512900
2010-02-01,21.780001,23.270000,20.730000,21.040001,17.147038,20086900
2010-03-01,21.110001,22.559999,21.070000,21.379999,17.424139,21359200
2010-04-01,21.400000,24.000000,21.070000,23.809999,19.527664,22211100
2010-05-01,23.830000,24.020000,18.510000,19.120001,15.681188,39231700
2010-06-01,19.080000,20.129999,18.510000,19.049999,15.623769,34829600
2010-07-01,19.230000,21.129999,18.750000,20.299999,16.768425,21514400
2010-08-01,20.469999,21.610001,19.639999,21.350000,17.635752,25093800
2010-09-01,21.590000,23.200001,21.450001,22.870001,18.891327,17153500
2010-10-01,23.000000,23.250000,20.570000,22.000000,18.294973,29793100
2010-11-01,22.150000,22.459999,20.540001,20.590000,17.122429,19697900
2010-12-01,20.850000,22.730000,20.820000,21.930000,18.236761,14709300
2011-01-01,22.040001,23.360001,21.889999,22.889999,19.164398,13478800
2011-02-01,22.950001,23.440001,20.910000,22.920000,19.189516,20154300
2011-03-01,23.020000,23.500000,20.969999,22.690001,18.996960,17658000
2011-04-01,22.719999,23.610001,22.549999,23.240000,19.591007,11283200
2011-05-01,23.350000,23.500000,22.190001,22.879999,19.287531,17375700
2011-06-01,22.870001,24.209999,21.719999,24.070000,20.290688,23451000
2011-07-01,24.139999,24.840000,22.910000,23.059999,19.573645,10814300
2011-08-01,23.240000,23.320000,19.530001,20.820000,17.672300,29287000
2011-09-01,20.990000,21.379999,19.530001,20.139999,17.095108,21182300
2011-10-01,20.059999,23.020000,19.010000,22.250000,19.037498,16252600
2011-11-01,21.680000,23.139999,21.040001,22.570000,19.311287,16737000
2011-12-01,22.490000,22.790001,21.600000,22.549999,19.294180,13264500
2012-01-01,22.750000,24.200001,22.280001,23.969999,20.657030,9245500
2012-02-01,24.200001,24.940001,22.500000,24.340000,20.975897,9104300
2012-03-01,24.400000,24.690001,23.629999,23.910000,20.605328,9015100
2012-04-01,23.840000,24.459999,22.459999,23.209999,20.134323,11111300
2012-05-01,23.190001,23.570000,20.110001,20.230000,17.549223,15747800
2012-06-01,19.990000,21.360001,19.750000,21.270000,18.451405,15583300
2012-07-01,21.299999,21.950001,20.590000,21.170000,18.507290,9749800
2012-08-01,21.200001,24.000000,20.290001,23.680000,20.701590,15639500
2012-09-01,23.700001,24.240000,23.030001,23.330000,20.395613,10512400
2012-10-01,23.370001,23.840000,22.299999,22.950001,20.214705,8359700
