Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,41.520000,43.889999,40.939999,40.990002,33.547211,83773900
2010-02-01,41.160000,41.840000,39.549999,39.970001,32.712414,72475100
2010-03-01,39.880001,42.990002,39.880001,41.950001,34.332893,86658100
2010-04-01,42.169998,44.669998,41.230000,43.639999,35.716034,88941500
2010-05-01,43.439999,43.820000,37.000000,37.520000,30.976791,117286900
2010-06-01,37.279999,41.130001,36.049999,38.650002,31.909731,153840800
2010-07-01,38.360001,40.619999,37.680000,39.639999,32.727081,89911200
2010-08-01,40.169998,40.750000,36.450001,36.599998,30.217228,83355800
2010-09-01,36.970001,42.799999,36.970001,42.490002,35.080070,82425900
2010-10-01,43.830002,45.970001,43.830002,44.709999,36.912914,99629100
2010-11-01,44.580002,45.709999,42.220001,43.320000,36.120754,70845000
2010-12-01,43.770000,51.430000,43.240002,48.490002,40.431568,84905700
2011-01-01,48.660000,52.720001,47.680000,51.470001,42.916328,74316500
2011-02-01,51.830002,54.549999,51.200001,51.480000,42.924664,48307700
2011-03-01,51.840000,56.779999,48.720001,54.970001,45.834667,89040100
2011-04-01,54.810001,57.869999,54.049999,57.130001,47.635712,69946500
2011-05-01,57.119999,58.209999,54.540001,57.389999,48.241268,71699800
2011-06-01,57.459999,60.980000,53.500000,60.419998,50.788242,136676600
2011-07-01,60.189999,63.660000,58.750000,59.139999,49.712292,241736400
2011-08-01,59.630001,60.029999,47.400002,53.590000,45.047043,159486600
2011-09-01,53.610001,56.299999,48.549999,52.680000,44.282104,128061900
2011-10-01,52.570000,61.900002,50.340000,60.259998,50.653740,89933100
2011-11-01,57.110001,59.619999,53.189999,57.930000,49.278538,59289900
2011-12-01,57.709999,60.200001,51.080002,53.230000,45.280457,90453900
2012-01-01,53.919998,57.799999,51.470001,57.340000,48.776649,97148100
2012-02-01,57.990002,60.000000,56.450001,59.540001,50.648098,55918000
2012-03-01,59.810001,65.889999,59.070000,64.500000,54.867352,79315200
2012-04-01,64.629997,65.660004,61.770000,64.949997,55.250141,63944800
