Date,Open,High,Low,Close,Adj Close,Volume
2011-10-01,49.000000,53.320000,48.299999,52.930000,44.714985,10400
2011-11-01,50.500000,52.840000,48.270000,52.110001,44.022255,356600
2011-12-01,51.840000,52.290001,49.180000,50.099998,42.324219,382600
2012-01-01,51.110001,54.060001,50.200001,53.459999,45.826439,280300
2012-02-01,53.950001,56.919998,53.950001,56.580002,48.500938,942900
2012-03-01,56.770000,57.230000,54.849998,56.599998,48.518070,539700
2012-04-01,56.570000,61.900002,54.709999,56.919998,48.792377,630400
2012-05-01,57.250000,57.669998,51.000000,51.610001,44.240601,1925500
2012-06-01,51.060001,54.730000,50.990002,54.349998,46.589348,2121900
2012-07-01,55.119999,55.720001,53.020000,55.259998,47.908489,1860600
2012-08-01,55.939999,56.500000,54.400002,55.580002,48.185917,4043500
2012-09-01,55.570000,57.820000,54.970001,57.150002,49.547062,3000800
2012-10-01,57.500000,58.520000,56.959999,57.529999,49.876499,3523700
2012-11-01,57.790001,58.180000,56.150002,58.040001,50.318653,4437800
2012-12-01,58.259998,60.599998,57.930000,60.560001,52.503414,6688800
2013-01-01,61.119999,62.220001,60.169998,60.869999,53.114094,6201800
2013-02-01,61.410000,61.650002,60.150002,61.029999,53.253704,12398600
2013-03-01,61.049999,62.009998,59.580002,60.840000,53.087917,9140700
2013-04-01,60.910000,62.650002,59.540001,62.570000,54.597481,8037600
2013-05-01,62.439999,63.880001,59.610001,59.610001,52.014637,9804100
2013-06-01,59.500000,60.459999,53.650002,57.110001,49.833179,14169700
2013-07-01,57.439999,59.150002,55.639999,57.430000,50.677490,12208600
2013-08-01,57.939999,58.430000,53.529999,55.090000,48.612625,13946700
2013-09-01,55.520000,61.290001,55.110001,58.720001,51.815811,6411200
2013-10-01,58.959999,61.880001,58.959999,60.250000,53.165924,16261900
2013-11-01,60.380001,60.400002,57.369999,59.380001,52.398212,7279600
2013-12-01,59.340000,59.450001,56.169998,58.259998,51.409901,9732500
2014-01-01,57.590000,57.590000,53.049999,53.520000,47.920368,9817700
2014-02-01,53.439999,55.709999,52.270000,55.439999,49.639488,6311900
2014-03-01,54.869999,57.439999,54.349998,57.200001,51.215347,6244000
2014-04-01,57.580002,58.880001,56.930000,58.240002,52.146534,8557500
2014-05-01,58.189999,60.330002,58.090000,59.599998,53.364239,3168800
2014-06-01,59.740002,60.869999,59.369999,60.070000,53.785065,3807800
2014-07-01,60.549999,62.000000,60.310001,60.650002,54.952045,3777100
2014-08-01,60.720001,63.209999,60.599998,62.610001,56.727917,3761000
2014-09-01,62.709999,63.680000,59.320000,59.799999,54.181908,4534000
2014-10-01,59.660000,60.790001,57.689999,60.560001,54.870506,9789900
2014-11-01,60.520000,60.619999,58.860001,59.270000,53.701694,5313600
2014-12-01,58.730000,58.900002,54.130001,56.630001,51.309723,12095500
2015-01-01,56.619999,58.790001,54.959999,57.299999,52.703644,8098200
2015-02-01,57.849998,59.130001,57.480000,58.750000,54.037327,7013600
2015-03-01,58.700001,59.099998,56.299999,59.009998,54.276474,8071700
2015-04-01,59.590000,63.709999,59.369999,62.230000,57.238182,8193300
2015-05-01,62.459999,62.810001,60.029999,60.070000,55.251446,9161800
2015-06-01,60.119999,60.119999,56.970001,57.680000,53.053158,9040500
2015-07-01,57.950001,58.209999,54.459999,55.490002,51.561798,12195300
2015-08-01,55.119999,55.619999,45.270000,51.290001,47.659122,16056600
2015-09-01,50.380001,52.439999,48.119999,49.820000,46.293182,12807500
2015-10-01,50.110001,54.160000,49.529999,52.340000,48.634785,12932600
2015-11-01,52.599998,53.619999,50.020000,50.299999,46.739204,11033600
2015-12-01,50.459999,50.730000,47.230000,48.660000,45.215298,20398500
2016-01-01,47.529999,47.790001,43.439999,47.000000,44.254223,18045900
2016-02-01,46.689999,48.009998,45.320000,47.029999,44.282467,13067000
2016-03-01,47.730000,51.689999,47.689999,51.369999,48.368927,18674800
2016-04-01,50.689999,52.660000,49.630001,51.459999,48.453663,15429300
2016-05-01,51.430000,51.610001,48.810001,50.169998,47.239025,15636600
2016-06-01,50.029999,52.380001,48.630001,51.590000,48.576073,18339800
2016-07-01,51.830002,53.139999,50.360001,53.090000,50.620461,15731900
2016-08-01,53.220001,54.840000,52.560001,53.270000,50.792084,19535700
2016-09-01,53.310001,54.860001,52.110001,54.060001,51.545338,18931800
2016-10-01,54.060001,54.320000,52.380001,52.830002,50.372547,14048400
2016-11-01,53.080002,53.490002,49.090000,50.220001,47.883957,19402400
2016-12-01,50.029999,51.020000,47.799999,50.639999,48.284420,22242400
2017-01-01,49.110001,51.209999,48.939999,50.730000,49.091885,14274600
2017-02-01,50.810001,52.520000,50.549999,51.709999,50.040234,13332200
